secCode,年度,ESGスコア
3667,2023,3.0
3667,2024,3.16
3667,2025,3.21
3668,2021,3.86
3668,2022,2.1
3668,2023,3.66
3668,2024,3.82
3668,2025,2.65
366A,2021,2.61
366A,2022,1.72
366A,2023,2.66
366A,2024,4.15
366A,2025,4.64
3670,2021,3.37
3670,2022,2.2
3670,2023,3.73
3670,2024,3.96
3670,2025,2.33
3671,2021,4.31
3671,2022,1.29
3671,2023,1.04
3671,2024,1.49
3671,2025,1.62
3672,2021,4.52
3672,2022,2.7
3672,2023,2.1
3672,2024,2.72
3672,2025,2.58
3673,2021,2.21
3673,2022,1.55
3673,2023,3.62
3673,2024,1.55
3673,2025,4.1
3674,2021,1.81
3674,2022,3.93
3674,2023,4.22
3674,2024,1.5
3674,2025,1.35
3675,2021,4.8
3675,2022,2.85
3675,2023,3.52
3675,2024,1.09
3675,2025,2.11
3676,2021,3.02
3676,2022,4.54
3676,2023,2.09
3676,2024,4.1
3676,2025,3.65
3678,2021,1.46
3678,2022,2.17
3678,2023,1.95
3678,2024,2.77
3678,2025,3.54
3679,2021,2.73
3679,2022,1.98
3679,2023,3.78
3679,2024,3.34
3679,2025,3.08
367A,2021,3.22
367A,2022,1.89
367A,2023,3.72
367A,2024,2.55
367A,2025,2.45
3680,2021,1.6
3680,2022,3.39
3680,2023,3.41
3680,2024,2.36
3680,2025,4.44
3681,2021,4.38
3681,2022,1.44
3681,2023,3.78
3681,2024,2.58
3681,2025,5.0
3682,2021,1.9
3682,2022,2.12
3682,2023,2.77
3682,2024,2.07
3682,2025,3.77
3683,2021,2.92
3683,2022,1.88
3683,2023,3.03
3683,2024,4.56
3683,2025,4.17
3686,2021,3.0
3686,2022,2.15
3686,2023,1.72
3686,2024,4.51
3686,2025,3.84
3687,2021,3.29
3687,2022,4.52
3687,2023,1.49
3687,2024,3.73
3687,2025,1.87
368A,2021,1.48
368A,2022,2.86
368A,2023,2.55
368A,2024,4.76
368A,2025,2.3
3690,2021,4.26
3690,2022,4.0
3690,2023,3.67
3690,2024,4.68
3690,2025,2.63
3691,2021,2.56
3691,2022,1.64
3691,2023,2.1
3691,2024,4.52
3691,2025,2.9
3692,2021,2.37
3692,2022,1.86
3692,2023,2.94
3692,2024,3.87
3692,2025,2.15
3694,2021,4.03
3694,2022,3.52
3694,2023,4.15
3694,2024,2.0
3694,2025,3.52
3695,2021,1.61
3695,2022,2.46
3695,2023,3.9
3695,2024,3.53
3695,2025,1.75
3696,2021,4.43
3696,2022,1.21
3696,2023,3.38
3696,2024,4.94
3696,2025,3.13
3697,2021,4.2
3697,2022,3.38
3697,2023,4.13
3697,2024,3.62
3697,2025,3.76
3698,2021,1.91
3698,2022,3.97
3698,2023,1.95
3698,2024,4.92
3698,2025,1.91
369A,2021,1.95
369A,2022,4.43
369A,2023,1.97
369A,2024,2.44
369A,2025,3.86
3708,2021,1.63
3708,2022,1.64
3708,2023,2.95
3708,2024,1.97
3708,2025,1.94
370A,2021,1.04
370A,2022,2.48
370A,2023,2.27
370A,2024,1.12
370A,2025,3.48
3710,2021,3.51
3710,2022,1.28
3710,2023,2.27
3710,2024,4.49
3710,2025,3.33
3712,2021,2.65
3712,2022,2.86
3712,2023,1.83
3712,2024,4.25
3712,2025,4.66
3719,2021,4.64
3719,2022,1.9
3719,2023,2.24
3719,2024,1.64
3719,2025,2.23
371A,2021,2.33
371A,2022,3.53
371A,2023,1.76
371A,2024,4.68
371A,2025,1.41
3723,2021,1.03
3723,2022,4.42
3723,2023,3.82
3723,2024,2.42
3723,2025,3.38
3726,2021,1.89
3726,2022,1.67
3726,2023,2.88
3726,2024,2.41
3726,2025,3.46
3727,2021,1.87
3727,2022,3.65
3727,2023,4.07
3727,2024,1.67
3727,2025,1.18
372A,2021,2.76
372A,2022,4.1
372A,2023,3.6
372A,2024,3.81
372A,2025,2.61
3733,2021,1.94
3733,2022,3.13
3733,2023,1.82
3733,2024,3.9
3733,2025,1.79
373A,2021,2.17
373A,2022,3.03
373A,2023,2.95
373A,2024,3.4
373A,2025,2.75
3741,2021,4.68
3741,2022,4.36
3741,2023,4.52
3741,2024,3.52
3741,2025,3.54
3744,2021,3.44
3744,2022,2.74
3744,2023,2.29
3744,2024,3.37
3744,2025,1.1
3747,2021,1.03
3747,2022,4.41
3747,2023,1.19
3747,2024,3.1
3747,2025,3.46
374A,2021,1.79
374A,2022,4.58
374A,2023,1.76
374A,2024,4.54
374A,2025,4.05
3750,2021,1.96
3750,2022,1.6
3750,2023,2.26
3750,2024,2.59
3750,2025,1.98
3753,2021,5.0
3753,2022,1.92
3753,2023,4.32
3753,2024,1.64
3753,2025,4.92
3758,2021,1.9
3758,2022,2.69
3758,2023,3.23
3758,2024,1.48
3758,2025,4.27
375A,2021,2.1
375A,2022,3.2
375A,2023,3.2
375A,2024,3.41
375A,2025,1.22
3760,2021,1.67
3760,2022,1.64
3760,2023,2.21
3760,2024,1.58
3760,2025,4.69
3762,2021,3.05
3762,2022,3.49
3762,2023,2.43
3762,2024,2.1
3762,2025,3.01
3763,2021,2.18
3763,2022,2.37
3763,2023,2.81
3763,2024,3.02
3763,2025,4.94
3765,2021,1.89
3765,2022,2.95
3765,2023,1.6
3765,2024,2.4
3765,2025,3.87
3766,2021,1.7
3766,2022,3.33
3766,2023,2.67
3766,2024,1.21
3766,2025,4.73
3768,2021,2.65
3768,2022,4.14
3768,2023,2.67
3768,2024,4.75
3768,2025,2.16
3769,2021,2.65
3769,2022,4.04
3769,2023,2.37
3769,2024,2.46
3769,2025,4.98
3771,2021,3.22
3771,2022,3.76
3771,2023,3.57
3771,2024,4.31
3771,2025,4.45
3772,2021,3.25
3772,2022,2.18
3772,2023,1.09
3772,2024,3.46
3772,2025,4.3
3773,2021,2.8
3773,2022,1.66
3773,2023,2.15
3773,2024,3.04
3773,2025,4.35
3774,2021,1.69
3774,2022,3.45
3774,2023,4.01
3774,2024,4.74
3774,2025,1.47
3776,2021,4.71
3776,2022,3.41
3776,2023,4.07
3776,2024,1.22
3776,2025,3.02
3777,2021,3.49
3777,2022,2.23
3777,2023,2.73
3777,2024,3.22
3777,2025,3.21
3778,2021,1.17
3778,2022,2.76
3778,2023,1.86
3778,2024,4.67
3778,2025,4.91
3779,2021,2.2
3779,2022,1.7
3779,2023,1.88
3779,2024,2.91
3779,2025,4.5
3787,2021,3.0
3787,2022,1.22
3787,2023,1.16
3787,2024,1.91
3787,2025,4.37
3788,2021,3.49
3788,2022,3.25
3788,2023,2.28
3788,2024,4.72
3788,2025,2.32
378A,2021,4.34
378A,2022,4.58
378A,2023,2.93
378A,2024,4.58
378A,2025,2.11
3791,2021,3.63
3791,2022,1.35
3791,2023,2.9
3791,2024,1.87
3791,2025,1.25
3793,2021,1.01
3793,2022,2.3
3793,2023,3.36
3793,2024,2.82
3793,2025,2.21
3796,2021,4.96
3796,2022,4.76
3796,2023,1.5
3796,2024,2.66
3796,2025,3.6
3798,2021,3.93
3798,2022,2.47
3798,2023,3.99
3798,2024,1.5
3798,2025,2.33
3799,2021,3.87
3799,2022,3.5
3799,2023,4.35
3799,2024,1.19
3799,2025,1.7
3800,2021,1.19
3800,2022,1.77
3800,2023,1.02
3800,2024,3.02
3800,2025,3.11
3802,2021,3.63
3802,2022,2.54
3802,2023,1.01
3802,2024,3.7
3802,2025,1.22
3803,2021,4.46
3803,2022,1.09
3803,2023,3.12
3803,2024,4.58
3803,2025,3.29
3804,2021,3.43
3804,2022,3.73
3804,2023,1.49
3804,2024,3.7
3804,2025,4.52
3807,2021,4.9
3807,2022,2.77
3807,2023,2.38
3807,2024,4.01
3807,2025,3.17
3810,2021,2.03
3810,2022,1.69
3810,2023,1.68
3810,2024,2.84
3810,2025,1.68
3815,2021,1.08
3815,2022,1.21
3815,2023,4.72
3815,2024,1.29
3815,2025,1.29
3816,2021,2.8
3816,2022,1.98
3816,2023,4.85
3816,2024,4.64
3816,2025,2.62
3817,2021,2.79
3817,2022,2.5
3817,2023,1.15
3817,2024,2.17
3817,2025,1.49
3823,2021,1.41
3823,2022,3.24
3823,2023,1.4
3823,2024,1.41
3823,2025,2.92
3825,2021,2.77
3825,2022,1.55
3825,2023,1.02
3825,2024,1.77
3825,2025,1.94
3826,2021,4.2
3826,2022,4.66
3826,2023,2.62
3826,2024,2.62
3826,2025,3.85
3834,2021,3.51
3834,2022,1.74
3834,2023,1.43
3834,2024,2.75
3834,2025,3.26
3835,2021,1.55
3835,2022,2.17
3835,2023,2.22
3835,2024,2.05
3835,2025,2.84
3836,2021,3.61
3836,2022,3.04
3836,2023,1.81
3836,2024,1.41
3836,2025,4.29
3837,2021,2.92
3837,2022,1.25
3837,2023,2.03
3837,2024,4.22
3837,2025,4.01
3839,2021,4.5
3839,2022,3.41
3839,2023,2.69
3839,2024,2.71
3839,2025,1.78
3840,2021,3.6
3840,2022,3.34
3840,2023,1.62
3840,2024,4.54
3840,2025,2.47
3841,2021,1.2
3841,2022,2.31
3841,2023,4.48
3841,2024,4.67
3841,2025,2.96
3842,2021,4.83
3842,2022,4.5
3842,2023,4.3
3842,2024,4.44
3842,2025,2.53
3843,2021,4.03
3843,2022,3.31
3843,2023,3.88
3843,2024,1.71
3843,2025,3.93
3844,2021,4.83
3844,2022,2.21
3844,2023,4.94
3844,2024,2.51
3844,2025,1.8
3845,2021,1.45
3845,2022,4.14
3845,2023,3.22
3845,2024,2.23
3845,2025,3.43
3848,2021,2.33
3848,2022,2.79
3848,2023,4.45
3848,2024,3.67
3848,2025,4.05
3850,2021,3.33
3850,2022,4.97
3850,2023,1.97
3850,2024,2.05
3850,2025,1.37
3851,2021,3.22
3851,2022,3.45
3851,2023,3.9
3851,2024,2.34
3851,2025,1.05
3853,2021,3.53
3853,2022,4.99
3853,2023,2.18
3853,2024,1.74
3853,2025,2.13
3854,2021,2.7
3854,2022,2.0
3854,2023,2.39
3854,2024,3.55
3854,2025,2.38
3856,2021,2.58
3856,2022,1.16
3856,2023,4.67
3856,2024,2.63
3856,2025,2.31
3858,2021,1.35
3858,2022,3.54
3858,2023,4.46
3858,2024,1.16
3858,2025,1.58
385A,2021,1.59
385A,2022,3.41
385A,2023,4.68
385A,2024,2.75
385A,2025,2.38
3861,2021,4.06
3861,2022,3.97
3861,2023,1.99
3861,2024,1.64
3861,2025,2.43
3863,2021,4.1
3863,2022,3.78
3863,2023,3.66
3863,2024,4.32
3863,2025,2.11
3864,2021,2.36
3864,2022,1.17
3864,2023,4.47
3864,2024,3.33
3864,2025,2.19
3865,2021,1.28
3865,2022,3.89
3865,2023,3.99
3865,2024,3.66
3865,2025,1.82
386A,2021,4.65
386A,2022,4.01
386A,2023,3.63
386A,2024,3.6
386A,2025,4.62
3877,2021,4.71
3877,2022,3.38
3877,2023,2.67
3877,2024,2.45
3877,2025,4.28
3878,2021,3.58
3878,2022,1.31
3878,2023,1.57
3878,2024,4.6
3878,2025,4.54
387A,2021,4.81
387A,2022,2.71
387A,2023,4.14
387A,2024,4.31
387A,2025,2.26
3880,2021,1.58
3880,2022,4.99
3880,2023,1.12
3880,2024,3.39
3880,2025,3.6
3891,2021,3.73
3891,2022,2.02
3891,2023,3.89
3891,2024,1.87
3891,2025,4.32
3892,2021,1.88
3892,2022,3.79
3892,2023,4.13
3892,2024,1.76
3892,2025,1.95
3895,2021,4.12
3895,2022,1.34
3895,2023,1.76
3895,2024,2.82
3895,2025,4.72
3896,2021,3.25
3896,2022,2.55
3896,2023,4.91
3896,2024,2.85
3896,2025,2.73
389A,2021,2.65
389A,2022,2.25
389A,2023,2.3
389A,2024,3.75
389A,2025,1.16
3900,2021,3.73
3900,2022,1.8
3900,2023,2.54
3900,2024,1.59
3900,2025,3.21
3901,2021,3.92
3901,2022,2.42
3901,2023,1.65
3901,2024,1.91
3901,2025,4.27
3903,2021,2.07
3903,2022,4.1
3903,2023,2.32
3903,2024,1.75
3903,2025,3.91
3904,2021,2.87
3904,2022,1.13
3904,2023,4.84
3904,2024,1.59
3904,2025,2.41
3905,2021,2.54
3905,2022,2.96
3905,2023,4.14
3905,2024,1.02
3905,2025,4.73
3907,2021,3.58
3907,2022,4.8
3907,2023,4.27
3907,2024,4.71
3907,2025,3.4
3908,2021,2.43
3908,2022,2.77
3908,2023,3.63
3908,2024,2.71
3908,2025,3.93
3909,2021,1.37
3909,2022,4.32
3909,2023,1.82
3909,2024,4.78
3909,2025,1.62
3910,2021,1.52
3910,2022,4.25
3910,2023,4.27
3910,2024,3.96
3910,2025,4.84
3911,2021,2.08
3911,2022,4.31
3911,2023,2.41
3911,2024,3.15
3911,2025,2.78
3912,2021,1.02
3912,2022,3.3
3912,2023,3.99
3912,2024,1.7
3912,2025,4.73
3913,2021,3.12
3913,2022,1.71
3913,2023,3.58
3913,2024,1.77
3913,2025,1.25
3914,2021,3.74
3914,2022,1.44
3914,2023,1.42
3914,2024,3.96
3914,2025,1.22
3915,2021,4.24
3915,2022,4.18
3915,2023,1.57
3915,2024,3.07
3915,2025,1.39
3916,2021,3.53
3916,2022,1.25
3916,2023,4.78
3916,2024,1.83
3916,2025,3.73
3917,2021,1.51
3917,2022,1.84
3917,2023,2.8
3917,2024,3.29
3917,2025,5.0
3918,2021,1.1
3918,2022,1.0
3918,2023,2.4
3918,2024,2.46
3918,2025,4.54
3920,2021,4.65
3920,2022,4.52
3920,2023,1.57
3920,2024,2.65
3920,2025,3.98
3921,2021,2.25
3921,2022,3.65
3921,2023,1.95
3921,2024,2.29
3921,2025,4.44
3922,2021,2.0
3922,2022,4.86
3922,2023,2.23
3922,2024,1.09
3922,2025,2.02
3923,2021,1.68
3923,2022,3.03
3923,2023,1.45
3923,2024,3.5
3923,2025,4.5
3925,2021,2.45
3925,2022,1.67
3925,2023,2.6
3925,2024,4.14
3925,2025,3.37
3926,2021,1.4
3926,2022,3.15
3926,2023,2.87
3926,2024,2.31
3926,2025,1.44
3927,2021,4.92
3927,2022,1.7
3927,2023,1.77
3927,2024,1.58
3927,2025,3.28
3928,2021,2.77
3928,2022,2.0
3928,2023,2.72
3928,2024,3.69
3928,2025,2.13
3929,2021,4.66
3929,2022,2.23
3929,2023,1.79
3929,2024,4.82
3929,2025,4.24
3930,2021,2.37
3930,2022,4.37
3930,2023,3.08
3930,2024,2.39
3930,2025,4.36
3931,2021,4.01
3931,2022,2.19
3931,2023,3.43
3931,2024,2.48
3931,2025,1.0
3932,2021,4.85
3932,2022,3.2
3932,2023,3.39
3932,2024,3.4
3932,2025,3.2
3933,2021,2.16
3933,2022,4.89
3933,2023,3.49
3933,2024,3.68
3933,2025,2.82
3934,2021,2.15
3934,2022,1.26
3934,2023,2.4
3934,2024,1.7
3934,2025,3.65
3935,2021,4.52
3935,2022,2.21
3935,2023,2.33
3935,2024,3.68
3935,2025,1.6
3936,2021,4.72
3936,2022,2.46
3936,2023,1.4
3936,2024,1.7
3936,2025,4.73
3937,2021,1.99
3937,2022,3.65
3937,2023,1.62
3937,2024,1.78
3937,2025,4.52
3939,2021,1.59
3939,2022,1.08
3939,2023,3.0
3939,2024,4.45
3939,2025,2.3
393A,2021,1.51
393A,2022,4.93
393A,2023,3.71
393A,2024,4.4
393A,2025,4.01
3940,2021,3.79
3940,2022,2.54
3940,2023,2.3
3940,2024,3.87
3940,2025,3.87
3941,2021,4.8
3941,2022,3.27
3941,2023,2.18
3941,2024,2.96
3941,2025,3.45
3943,2021,2.71
3943,2022,4.16
3943,2023,3.34
3943,2024,1.04
3943,2025,3.28
3944,2021,3.53
3944,2022,4.66
3944,2023,2.65
3944,2024,3.3
3944,2025,2.9
3945,2021,3.13
3945,2022,1.27
3945,2023,4.59
3945,2024,4.64
3945,2025,3.19
3946,2021,3.23
3946,2022,1.23
3946,2023,3.39
3946,2024,2.72
3946,2025,3.84
3947,2021,1.19
3947,2022,3.84
3947,2023,2.15
3947,2024,3.61
3947,2025,3.51
3948,2021,1.91
3948,2022,2.76
3948,2023,4.34
3948,2024,3.42
3948,2025,1.27
3950,2021,2.77
3950,2022,2.25
3950,2023,3.57
3950,2024,3.46
3950,2025,1.04
3951,2021,3.43
3951,2022,3.94
3951,2023,4.07
3951,2024,1.24
3951,2025,2.21
3953,2021,2.69
3953,2022,1.72
3953,2023,2.68
3953,2024,1.28
3953,2025,1.45
3954,2021,3.67
3954,2022,2.05
3954,2023,3.85
3954,2024,1.19
3954,2025,3.25
3955,2021,2.57
3955,2022,4.19
3955,2023,4.14
3955,2024,2.5
3955,2025,3.49
3958,2021,1.91
3958,2022,3.32
3958,2023,1.33
3958,2024,2.74
3958,2025,1.73
3962,2021,4.53
3962,2022,2.78
3962,2023,3.36
3962,2024,2.44
3962,2025,2.15
3963,2021,1.81
3963,2022,4.65
3963,2023,4.2
3963,2024,1.53
3963,2025,3.99
3964,2021,2.67
3964,2022,1.06
3964,2023,3.11
3964,2024,1.52
3964,2025,1.84
3965,2021,3.78
3965,2022,2.03
3965,2023,4.57
3965,2024,3.63
3965,2025,4.33
3967,2021,3.46
3967,2022,4.48
3967,2023,2.45
3967,2024,3.2
3967,2025,3.06
3968,2021,4.62
3968,2022,1.66
3968,2023,3.31
3968,2024,4.02
3968,2025,2.48
3969,2021,4.47
3969,2022,2.49
3969,2023,1.69
3969,2024,3.34
3969,2025,2.68
3970,2021,1.06
3970,2022,1.28
3970,2023,1.78
3970,2024,4.08
3970,2025,4.57
3974,2021,3.18
3974,2022,1.42
3974,2023,3.14
3974,2024,4.42
3974,2025,4.0
3976,2021,2.16
3976,2022,1.5
3976,2023,4.6
3976,2024,4.42
3976,2025,1.21
3979,2021,4.29
3979,2022,1.39
3979,2023,1.25
3979,2024,4.03
3979,2025,3.15
3981,2021,2.66
3981,2022,4.62
3981,2023,4.36
3981,2024,1.23
3981,2025,3.46
3983,2021,4.09
3983,2022,3.2
3983,2023,4.93
3983,2024,3.74
3983,2025,1.42
3984,2021,1.79
3984,2022,4.3
3984,2023,4.99
3984,2024,1.39
3984,2025,1.4
3985,2021,4.05
3985,2022,1.26
3985,2023,1.27
3985,2024,4.56
3985,2025,4.2
3986,2021,4.53
3986,2022,3.6
3986,2023,2.29
3986,2024,4.63
3986,2025,2.19
3987,2021,2.1
3987,2022,4.55
3987,2023,3.72
3987,2024,4.58
3987,2025,1.62
3988,2021,4.81
3988,2022,3.45
3988,2023,3.67
3988,2024,4.66
3988,2025,2.52
3989,2021,3.88
3989,2022,3.56
3989,2023,4.15
3989,2024,4.59
3989,2025,3.72
398A,2021,1.27
398A,2022,1.73
398A,2023,4.82
398A,2024,4.87
398A,2025,4.87
3991,2021,1.15
3991,2022,2.53
3991,2023,4.04
3991,2024,4.01
3991,2025,1.34
3992,2021,3.44
3992,2022,1.57
3992,2023,2.97
3992,2024,1.96
3992,2025,1.21
3993,2021,1.32
3993,2022,4.64
3993,2023,3.98
3993,2024,4.73
3993,2025,2.88
3994,2021,2.65
3994,2022,2.43
3994,2023,3.47
3994,2024,2.41
3994,2025,3.99
3996,2021,4.21
3996,2022,4.5
3996,2023,1.97
3996,2024,3.11
3996,2025,1.89
3997,2021,1.15
3997,2022,3.83
3997,2023,3.2
3997,2024,3.9
3997,2025,1.35
3998,2021,4.98
3998,2022,4.98
3998,2023,2.86
3998,2024,4.46
3998,2025,1.97
4004,2021,3.95
4004,2022,4.52
4004,2023,4.26
4004,2024,4.25
4004,2025,2.85
4005,2021,4.28
4005,2022,3.76
4005,2023,1.53
4005,2024,1.46
4005,2025,4.09
4008,2021,3.5
4008,2022,3.08
4008,2023,4.63
4008,2024,3.64
4008,2025,2.58
4011,2021,2.66
4011,2022,3.42
4011,2023,4.04
4011,2024,3.26
4011,2025,3.04
4012,2021,3.91
4012,2022,3.82
4012,2023,4.32
4012,2024,1.25
4012,2025,4.02
4013,2021,3.06
4013,2022,1.3
4013,2023,3.72
4013,2024,3.87
4013,2025,3.09
4014,2021,4.18
4014,2022,2.2
4014,2023,1.81
4014,2024,2.4
4014,2025,2.64
4015,2021,3.78
4015,2022,4.38
4015,2023,3.88
4015,2024,1.7
4015,2025,2.46
4016,2021,1.63
4016,2022,3.75
4016,2023,1.99
4016,2024,3.1
4016,2025,4.17
4017,2021,3.68
4017,2022,2.19
4017,2023,2.33
4017,2024,3.61
4017,2025,3.2
4019,2021,1.39
4019,2022,4.5
4019,2023,3.05
4019,2024,2.89
4019,2025,1.79
4020,2021,2.51
4020,2022,2.33
4020,2023,2.08
4020,2024,3.27
4020,2025,2.85
4021,2021,4.56
4021,2022,4.77
4021,2023,1.88
4021,2024,1.4
4021,2025,4.14
4022,2021,4.98
4022,2022,4.45
4022,2023,1.09
4022,2024,2.01
4022,2025,1.17
4023,2021,4.28
4023,2022,3.33
4023,2023,3.05
4023,2024,3.22
4023,2025,2.01
4025,2021,3.41
4025,2022,1.12
4025,2023,3.58
4025,2024,3.94
4025,2025,3.69
4026,2021,2.33
4026,2022,4.31
4026,2023,3.86
4026,2024,1.51
4026,2025,1.78
4027,2021,3.55
4027,2022,2.16
4027,2023,1.48
4027,2024,1.62
4027,2025,1.66
4028,2021,2.91
4028,2022,3.43
4028,2023,1.71
4028,2024,3.85
4028,2025,2.12
402A,2021,2.25
402A,2022,1.89
402A,2023,4.14
402A,2024,4.84
402A,2025,2.97
4031,2021,1.17
4031,2022,2.04
4031,2023,1.63
4031,2024,4.37
4031,2025,1.34
403A,2021,4.87
403A,2022,3.35
403A,2023,3.07
403A,2024,4.39
403A,2025,1.11
4040,2021,4.11
4040,2022,1.47
4040,2023,4.36
4040,2024,3.12
4040,2025,1.24
4041,2021,4.33
4041,2022,1.11
4041,2023,1.55
4041,2024,4.19
4041,2025,2.86
4042,2021,4.53
4042,2022,3.54
4042,2023,3.49
4042,2024,2.17
4042,2025,1.53
4043,2021,4.84
4043,2022,1.42
4043,2023,3.12
4043,2024,2.09
4043,2025,2.06
4044,2021,3.38
4044,2022,4.19
4044,2023,4.11
4044,2024,4.48
4044,2025,2.17
4045,2021,2.86
4045,2022,1.04
4045,2023,3.99
4045,2024,2.21
4045,2025,3.25
4046,2021,1.68
4046,2022,4.28
4046,2023,4.27
4046,2024,4.51
4046,2025,1.18
4047,2021,4.97
4047,2022,1.99
4047,2023,2.24
4047,2024,2.0
4047,2025,2.07
4051,2021,3.21
4051,2022,1.96
4051,2023,2.58
4051,2024,3.62
4051,2025,4.34
4052,2021,3.77
4052,2022,3.38
4052,2023,1.59
4052,2024,4.26
4052,2025,1.15
4053,2021,2.06
4053,2022,1.23
4053,2023,3.67
4053,2024,2.47
4053,2025,3.61
4054,2021,2.39
4054,2022,2.82
4054,2023,2.83
4054,2024,1.18
4054,2025,2.72
4055,2021,3.56
4055,2022,3.18
4055,2023,1.3
4055,2024,3.67
4055,2025,2.24
4056,2021,1.06
4056,2022,1.62
4056,2023,2.99
4056,2024,2.24
4056,2025,3.78
4057,2021,1.96
4057,2022,4.09
4057,2023,2.15
4057,2024,3.48
4057,2025,4.2
4058,2021,2.54
4058,2022,1.19
4058,2023,3.14
4058,2024,4.98
4058,2025,4.88
4059,2021,1.88
4059,2022,4.02
4059,2023,2.38
4059,2024,1.64
4059,2025,3.66
405A,2021,3.0
405A,2022,3.16
405A,2023,4.31
405A,2024,2.35
405A,2025,3.67
4060,2021,2.46
4060,2022,1.17
4060,2023,2.51
4060,2024,4.8
4060,2025,2.93
4061,2021,1.43
4061,2022,3.75
4061,2023,4.85
4061,2024,4.63
4061,2025,3.29
4062,2021,2.51
4062,2022,3.32
4062,2023,4.26
4062,2024,4.44
4062,2025,4.28
4063,2021,2.82
4063,2022,1.48
4063,2023,3.28
4063,2024,1.63
4063,2025,1.24
4064,2021,2.99
4064,2022,3.62
4064,2023,4.42
4064,2024,4.13
4064,2025,4.43
4068,2021,4.04
4068,2022,3.81
4068,2023,1.04
4068,2024,3.5
4068,2025,1.48
4069,2021,1.23
4069,2022,1.63
4069,2023,4.29
4069,2024,3.98
4069,2025,4.8
406A,2021,4.92
406A,2022,4.57
406A,2023,1.53
406A,2024,4.51
406A,2025,4.35
4071,2021,4.48
4071,2022,1.61
4071,2023,1.47
4071,2024,4.7
4071,2025,1.7
4072,2021,2.47
4072,2022,2.82
4072,2023,1.5
4072,2024,1.08
4072,2025,4.98
4073,2021,4.51
4073,2022,4.65
4073,2023,2.14
4073,2024,1.88
4073,2025,2.7
4074,2021,2.81
4074,2022,1.02
4074,2023,4.12
4074,2024,4.99
4074,2025,3.11
4075,2021,2.55
4075,2022,2.57
4075,2023,1.38
4075,2024,2.06
4075,2025,3.01
4076,2021,2.73
4076,2022,3.18
4076,2023,4.4
4076,2024,1.9
4076,2025,1.11
4078,2021,1.15
4078,2022,1.54
4078,2023,3.28
4078,2024,4.23
4078,2025,4.55
407A,2021,3.54
407A,2022,2.61
407A,2023,1.62
407A,2024,2.61
407A,2025,2.33
4082,2021,4.48
4082,2022,2.95
4082,2023,1.9
4082,2024,2.16
4082,2025,1.55
4088,2021,4.67
4088,2022,1.2
4088,2023,1.05
4088,2024,1.73
4088,2025,4.24
4091,2021,3.09
4091,2022,3.5
4091,2023,2.43
4091,2024,1.27
4091,2025,4.42
4092,2021,1.77
4092,2022,1.13
4092,2023,3.29
4092,2024,1.33
4092,2025,1.38
4093,2021,4.2
4093,2022,2.97
4093,2023,1.97
4093,2024,2.39
4093,2025,3.92
4094,2021,1.27
4094,2022,1.47
4094,2023,3.47
4094,2024,3.43
4094,2025,4.89
4095,2021,2.5
4095,2022,1.26
4095,2023,3.15
4095,2024,3.55
4095,2025,1.56
4097,2021,3.21
4097,2022,1.79
4097,2023,4.38
4097,2024,4.34
4097,2025,2.72
4098,2021,4.87
4098,2022,4.92
4098,2023,1.52
4098,2024,2.47
4098,2025,3.4
4099,2021,1.34
4099,2022,2.53
4099,2023,2.04
4099,2024,4.81
4099,2025,2.65
409A,2021,4.05
409A,2022,2.55
409A,2023,1.53
409A,2024,4.45
409A,2025,1.0
4100,2021,1.22
4100,2022,2.46
4100,2023,3.75
4100,2024,2.37
4100,2025,1.27
4102,2021,2.27
4102,2022,1.98
4102,2023,1.02
4102,2024,3.14
4102,2025,1.47
4107,2021,2.15
4107,2022,3.56
4107,2023,3.9
4107,2024,2.05
4107,2025,2.32
4109,2021,1.99
4109,2022,4.83
4109,2023,1.76
4109,2024,1.73
4109,2025,2.78
410A,2021,1.76
410A,2022,1.63
410A,2023,1.38
410A,2024,3.56
410A,2025,3.45
4112,2021,3.6
4112,2022,4.09
4112,2023,2.31
4112,2024,4.67
4112,2025,3.93
4113,2021,4.22
4113,2022,3.88
4113,2023,2.43
4113,2024,2.13
4113,2025,2.69
4114,2021,1.39
4114,2022,2.81
4114,2023,1.17
4114,2024,1.02
4114,2025,4.73
4116,2021,3.76
4116,2022,3.25
4116,2023,2.36
4116,2024,3.28
4116,2025,4.57
4118,2021,3.61
4118,2022,3.41
4118,2023,2.84
4118,2024,2.38
4118,2025,3.79
4119,2021,4.92
4119,2022,2.7
4119,2023,2.57
4119,2024,2.71
4119,2025,2.7
411A,2021,4.96
411A,2022,3.83
411A,2023,2.44
411A,2024,2.49
411A,2025,2.72
4120,2021,1.15
4120,2022,3.11
4120,2023,4.25
4120,2024,3.64
4120,2025,1.79
4124,2021,3.91
4124,2022,3.88
4124,2023,2.05
4124,2024,3.49
4124,2025,3.44
4125,2021,4.36
4125,2022,1.54
4125,2023,1.78
4125,2024,2.94
4125,2025,1.18
414A,2021,2.66
414A,2022,4.15
414A,2023,1.59
414A,2024,2.84
414A,2025,4.96
4151,2021,3.02
4151,2022,2.99
4151,2023,3.24
4151,2024,1.74
4151,2025,1.59
415A,2021,3.71
415A,2022,2.58
415A,2023,2.16
415A,2024,1.13
415A,2025,4.38
4165,2021,1.13
4165,2022,4.0
4165,2023,2.53
4165,2024,3.39
4165,2025,1.99
